trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-139.37047157625682,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-197.44333275770973,"{0: 14, 1: 2, 2: 12, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,1,-19.28506845974716,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-121.93053912011506,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-99.85066516322885,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-80.19674986231921,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-209.29799108030468,"{0: 23, 1: 3, 2: 4, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-123.78614401100828,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-30.01293282608807,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,1,-99.20230916925861,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,7,-101.18836821633357,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,13.797529419053456,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-54.09508196761414,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-52.71345509416048,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-73.84134311101576,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-142.65453952298648,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-28.57608041092302,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-45.54923305361562,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-6.312504189402051,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,13,-29.00522847010373,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,11,16.176868725374533,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-15.34452090048484,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,15,0.20221748036691745,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,8,-26.91508381621487,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-140.42297074329855,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,19,8.529884940168436,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,21.789108946994393,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",35,20,-45.38678519382822,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,8.994157533691691,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,10.505177115677377,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
