trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",25,11,-51.864694515738194,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1
2,False,"{'a': 0.01, 'e': 0.99}",20,0,-119.1782953287703,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9801}",20,0,-68.22106784825729,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.970299}",25,0,-164.9048702438437,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.96059601}",25,11,-76.18139097385068,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.01, 'e': 0.9509900498999999}",20,0,-32.51719828932396,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.941480149401}",30,0,-113.37577921163462,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9320653479069899}",30,0,-130.07221167121807,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9227446944279201}",20,0,-49.60396561422781,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9135172474836408}",20,0,-88.92490938555835,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9043820750088044}",35,0,-133.67685112397731,"{0: 24, 1: 4, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.8953382542587164}",20,0,-153.7712487975637,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.8863848717161292}",25,11,-95.71921568509504,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
14,False,"{'a': 0.01, 'e': 0.8775210229989678}",25,17,-10.58266537144635,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.8687458127689782}",30,0,-120.72830950956751,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.8600583546412884}",30,3,-103.8659281837517,"{0: 15, 1: 5, 2: 6, 3: 0, 4: 1}",1
17,False,"{'a': 0.01, 'e': 0.8514577710948755}",30,12,-55.916344162847146,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 0}",1
18,False,"{'a': 0.01, 'e': 0.8429431933839268}",25,1,-145.1386283645188,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 2}",1
19,False,"{'a': 0.01, 'e': 0.8345137614500875}",20,0,-15.21721630706599,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.8261686238355866}",20,5,-20.159276342870584,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
21,False,"{'a': 0.01, 'e': 0.8179069375972308}",30,0,-243.47937447626038,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 5}",0
22,False,"{'a': 0.01, 'e': 0.8097278682212584}",25,3,-49.95465517669051,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 0}",1
23,False,"{'a': 0.01, 'e': 0.8016305895390459}",20,11,-16.594791196744957,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.7936142836436554}",20,0,-51.89905972258673,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.7856781408072188}",20,14,-8.878952423603563,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.01, 'e': 0.7778213593991467}",25,0,-64.2589283917343,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.7700431458051551}",25,0,-20.096899644165486,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.7623427143471035}",25,17,-9.404709668711485,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.01, 'e': 0.7547192872036326}",20,0,-63.32486520667932,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.7471720943315961}",20,0,-92.72119107919094,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.7397003733882802}",20,0,-14.585123134711827,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.7323033696543975}",30,0,-21.666665746022797,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.7249803359578534}",20,14,0.31588048609622144,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.01, 'e': 0.7177305325982749}",20,0,-85.05867165241224,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.7105532272722921}",30,10,-47.90313940536877,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
36,False,"{'a': 0.01, 'e': 0.7034476949995692}",30,0,-97.46081771437096,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.6964132180495735}",25,9,-32.884638178562284,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.6894490858690777}",35,2,-159.47357891358294,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 4}",1
39,False,"{'a': 0.01, 'e': 0.682554595010387}",20,0,-26.816872008241486,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.6757290490602831}",20,0,-4.455730005778846,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
